Restaurant address,Challenge name,Location name,Latitude,Longitude
"Address: 5074 Hwy 78, Stone Mountain, GA 30087",Frontera’s Burrito El Gigante Challenge (Stone Mountain),Where: Frontera Mex-Mex Grill (Stone Mountain),,
"Address: 3100 Main St W, Snellville, GA 30078",Frontera’s Burrito El Gigante Challenge (Snellville),Where: Frontera Mex-Mex Grill (Snellville),,
"Address: 1820 Highway 20 SE, Ste #156, Conyers, GA 30013",Frontera’s Burrito El Gigante Challenge (Conyers),Where: Frontera Mex-Mex Grill (Conyers),,
"Address: 560 Gresham Ave, Atlanta, GA 30316",The So Ba Vietnamese Pho King Challenge,Where: So Ba Vietnamese Restaurant,,
"Address: 327 Edgewood Ave SE, Atlanta, GA 30312",Bone Lick Southern Kitchen’s Sandwich Challenge,Where: Bone Lick Southern Kitchen,,
"Address: 3190 Atlanta Hwy #11, Athens, GA 30606",The Brett’s Beast Burger Challenge,Where: Brett's Casual American Restaurant,,
"Address: 2971 Monroe Hwy, Watkinsville, GA 30677",Fox’s 30″ Big One Pizza Challenge (Oconee),Where: Fox's Pizza Den (Oconee),,
"Address: 100 W Kaahumanu Ave, Kahului, HI 96732",Tante’s Island Cuisine’s Loco Moco Challenge,Where: Tante's Island Cuisine,,
"Address: 92-1046 Olani St, Kapolei, HI 96707",Just Tacos’ 5lb “El Diablo” Burrito Challenge,Where: Just Tacos Hawaii,,
"Address: 226 Lewers St, Ste L-200, Honolulu, HI 96815",Cheeseburger Restaurant’s Cheeseburger Challenge (Beachwalk),Where: Cheeseburger Restaurant (Beachwalk),,
"Address: 2500 Kalakaua Ave, Honolulu, HI 96815",Cheeseburger Restaurant’s Cheeseburger Challenge (Waikiki),Where: Cheeseburger Restaurant (Waikiki),,
"Address: 2500 Kuhio Ave, Waikiki Beach, HI 96815",M.A.C. 24/7’s “M.A.C. Daddy” Pancake Challenge,Where: M.A.C. 24/7 Bar & Restaurant,,
"Address: 658 Front St, Ste #160, Lahaina, HI 96761",Cool Cat Café’s 808 Burger Challenge,Where: Cool Cat Café,,
"Address: 1295 S Beretania St, Honolulu, HI 96814",Honolulu Burger Co’s King Kamehameha Burger Challenge,Where: Honolulu Burger Co,,
"Address: 2511 S Kihei Rd, Kihei, HI 96753",Moose McGillycuddy’s “Moose” Omelette Challenge (Kihei),Where: Moose McGillycuddy's (Kihei),,
"Address: 310 Lewers Street, Honolulu, HI 96815",Moose McGillycuddy’s “Moose” Omelette Challenge (Waikiki),Where: Moose McGillycuddy's (Waikiki),,
"Address:  1120 Main St, Lewiston, ID 83501",Effie’s Tavern’s 4lb Burger Challenge,Where: Effie's Tavern,,
"Address: 1212 3rd Street S, Nampa, ID 83651",Stella’s Ice Cream’s “Bulldog” Sundae Challenge (Nampa),Where: Stella's Ice Cream (Nampa),,
"Address: 2826 S Eagle Rd, Ste #140, Eagle, ID 83616",Stella’s Ice Cream’s “Bulldog” Sundae Challenge (Eagle),Where: Stella's Ice Cream (Eagle),,
"Address: 545 Shoshone St S, Twin Falls, ID 83301",Depot Grill’s “Trainwreck” Breakfast Challenge,Where: Depot Grill,,
"Address: 8489 W Overland Rd, Boise, ID 83709",Westside’s 18″ Death By Pizza Challenge (Boise),Where: Westside Pizza (Boise),,
"Address: 11200 Hercules Dr, Ste #100, Star, ID 83669",Westside’s 18″ Death By Pizza Challenge (Star),Where: Westside Pizza (Star),,
"Address: 545 Shoshone St S, Twin Falls, ID 83303",Depot Grill’s Train Wreck Breakfast Challenge,Where: Depot Grill,,
"Address: 920 N Highway 41, Ste #1, Post Falls, ID 83854",Nate’s 18″ Solo Pizza Challenge,Where: Nate's New York Pizza,,
"Address: 920 N Hwy 41, Ste #1, Post Falls, ID 83854",Nate’s 36″ Team Pizza Challenge,Where: Nate's New York Pizza,,
"Address: 228 Elgin Ave, Notus, ID 83656",The Garage Café “Hemi” Burger Challenge,Where: The Garage Café,,
"Address: 215 Caldwell Blvd, Nampa, ID 83651",Wheeler’s 18 Wheeler Burger Challenge,Where: Wheeler's Handout,,
"Address: 710 W Ustick Rd, Meridian, ID 83646",Garbonzo’s Giant 28″ Team Pizza Challenge,Where: Garbonzo's Pizza (Meridian),,
"Address: 815 Ann Morrison Park Dr, Meridian, ID 83709",Cheerleaders’ Big Bertha Burger Challenge,Where: Cheerleaders Sports Bar & Grill,,
"Address: 1289 S Protest Rd, Boise, ID 83706",Big Jud’s 2lb Burger Challenge (Boise),Where: Big Jud's Country Diner (Boise),,
"Address: 1289 S Protest Rd, Boise, ID 83706",Big Jud’s 1lb Burger Challenge (Boise),Where: Big Jud's Country Diner (Boise),,
"Address: 280 N 8th St, Boise, ID 83702",Superb Sushi’s Death Roll Challenge (Downtown Boise),Where: Superb Sushi (Downtown Boise),,
"Address: 280 N 8th St, Boise, ID 83702",The Demon’s Delight Spicy Challenge (Downtown Boise),Where: Superb Sushi (Downtown Boise),,
"Address: 36 E Fort St, Farmington, IL 61531",Asher’s “Big Shoe” Horseshoe Eating Challenge,Where: Asher's Bar & Grille,,
"Address: 1003 Essington Rd, Joliet, IL 60435",Jerrie’s Loaded Hot Dog Challenge,Where: Jerrie's Dogs and More,,
"Address: 109 E Market St, Sadorus, IL 61872",Buford’s Pub’s “Big Buford” Burger and Sandwiches Challenge,Where: Buford’s Pub,,
"Address:  3312 W Rock Falls Rd, Rock Falls, IL 61071",Triple P BBQ’s “Big Eats” Food Challenge (Rock Falls),Where: Triple P BBQ (Rock Falls),,
"Address: 801 McKinley Ave, Bartonville, IL 61607",BillBoard Bistro’s “Uncle Mike’s” Horseshoe Challenge,Where: The BillBoard Bistro,,
"Address: 1829 S Pine St, Centralia, IL 62801",Orphan Smokehouse’s “Linebacker” Burger Challenge,Where: Orphan Smokehouse,,
"Address: 101 Main St, Elliott, IL 60933",Triple H Cafe’s Elliott Burger Challenge,Where: Triple H Cafe,,
"Address: 7828 N 2nd St, Machesney Park, IL 61115",Carlito’s 7lb Gordito Burrito Challenge,Where: Carlito's Tacos & More,,
"Address: 2141 S Archer Ave, Chicago, IL 60616",Strings Ramen’s Monster Hell Ramen Challenge,Where: Strings Ramen,,
"Address: 112 Marina Dr, Lacon, IL 61540",FroSmoke’s Meatery “Goliath” BBQ Challenge,Where: FroSmoke’s Meatery,,
"Address: 23 W Hubbard St, Chicago, IL 60654",JoJo’s Milk Bar’s “Sweet 16” Burger and Milkshake Challenge,Where: JoJo's Milk Bar,,
"Address: 456 Redington Dr, South Elgin, IL 60177",Riverside Pizza’s 16″ Stuffed Pizza Challenge (South Elgin),Where: Riverside Pizza & Pub (South Elgin),,
"Address: 102 E Main St, St Charles, IL 60174",Riverside Pizza’s 16″ Stuffed Pizza Challenge (St Charles),Where: Riverside Pizza & Pub (St Charles),,
"Address: 142 W Wilson St, Batavia, IL 60510",Riverside Pizza’s 16″ Stuffed Pizza Challenge (Batavia),Where: Riverside Pizza & Pub (Batavia),,
"Address: 24035 Lockport St, Plainfield, IL 60544",Uptown Plainfield’s Steve’s Burger Challenge,Where: Uptown Plainfield Eatery & Tap,,
"Address: 309 N Front St, Luka, IL 62849",Smoked To The Bone’s Philabuster Sandwich Challenge,Where: Smoked To The Bone,,
"Address: 5754 N Western Ave, Chicago, IL 60659",Vince’s VPT Grill’s Sears Tower Burger Challenge,Where: Vince's Pizza and Taqueria (VPT) Grill,,
"Address: 407 1st Ave, Lyndon, IL 61261",Bushy’s Burger Challenge,Where: Bushy's Bar & Grill ,,
"Address: 1660 N Broadway, Salem, IL 62881",Chuck’s Place Brutus Burger Challenge,Where: Chuck's Place,,
"Address: 201 S. Main St, Pearl City IL. 61062",Route No. 73’s Mega Merica Burger Challenge,Where: Route No. 73 Brew & Chew,,
"Address: 201 S Main St, Pearl City, IL 61062",Route No. 73 Brew & Chew’s Hot Wing Challenge,Where: Route No. 73 Brew & Chew,,
"Address: 310 W Division, Norris, IL 61553",Picco’s 16″ Large Works Stuffed Pizza Challenge,Where: Picco's Pit Bar-B-Que & Steakhouse,,
"Address: 2822 N Center St, Maryville, IL 62062",LakeHouse’s “Lake Monster” Food Challenge,Where: LakeHouse at Buffalo Park,,
"Address: 28 Kansas St, Frankfort, IL 60423 ",Fat Rosie’s El Patron Gordo Burrito Challenge (Frankfort),Where: Fat Rosie's (Frankfort),,
"Address: 47 East Chicago Ave, Naperville, IL 60540 ",Fat Rosie’s El Patron Gordo Burrito Challenge (Naperville),Where: Fat Rosie's (Naperville),,
"Address: 0S050 Winfield Rd, Winfield, IL 60190, USA",Caliendo’s Wise Guy Calzone Challenge,Where: Caliendo's Restaurant & Bar,,
"Address: 0S050 Winfield Rd, Winfield, IL 60190, USA",Caliendo’s Hitman Burger Challenge,Where: Caliendo's Restaurant & Bar,,
"Address: 1901 S Bridge St, Yorkville, IL 60560",Roadhouse Bar & Grill’s Big Hoss Burger Challenge,Where: Roadhouse Bar & Grill,,
"Address: 808 Broadway, Highland, IL 62249",DiMaggio’s “Battle of the Bowl” Pasta Eating Challenge,Where: DiMaggio's Pizza & Pasta ,,
"Address: 428 Maine St, Quincy, IL 62301",Red Light Bar’s Mississippi Monster Challenge,Where: Red Light Bar & Grill ,,
"Address: 1314 N Michigan Ave, Marshall, IL 62441",Johnny Provolone’s Pizza Mafia Challenge,Where: Johnny Provolone's Pizza,,
"Address: 60 E Ontario St, Chicago, IL 60611",SafeHouse Chicago’s Mission Impossible Burger Challenge,Where: SafeHouse Chicago,,
"Address: 1139 N Alpine Rd, Rockford, IL 61107",Mamma Mia’s “Godfather” Chicago Beef Sandwich Challenge,Where: Mamma Mia's Italian Pizzeria,,
"Address: 5805 N. Humboldt Ave., Peoria, IL 61614",Childers Eatery’s “Pandemic” Pancake Challenge,Where: Childers Eatery,,
"Address: 394 W Virginia St, Crystal Lake, IL 60014",M Supper Club’s 96oz Steak Dinner Challenge,Where: M Supper Club,,
"Address: 4030 Northpoint Blvd, Waukegan, IL 60085",Big Ed’s 3 Pound Burger Challenge,Where: Big Ed's BBQ,,
"Address: 6401 W Main St, Belleville, IL 62223",The Round Table’s Mega Omelette Challenge,Where: The Round Table Restaurant,,
"Address: 6401 W Main St, Belleville, IL 62223",The Round Table’s Mega Hamburger Challenge,Where: The Round Table Restaurant,,
"Address: 335 E Boughton Rd, Bolingbrook, IL 60440",Ashbury’s Double Decker Burger Challenge,Where: Ashbury's at Boughton Ridge,,
"Address: 120 N Main St, Altamont, IL 62411",Open Door Diner’s “Gramps” Breakfast Challenge,Where: Open Door Diner,,
"Address: 120 N Main St, Altamont, IL 62411",Open Door Diner’s “Door Stop” Burger Challenge,Where: Open Door Diner,,
"Address: 2145 63rd St, Downers Grove, IL 60516",Q Billiards’ Big Boy Burger Challenge (Downers Grove),Where: Q Billiards (Downers Grove),,
"Address: 11 W John St, Plano, IL 60545",Q Bar’s Big Boy Burger Challenge (Plano),Where: Q Bar (Plano),,
"Address: 2240 Bloomingdale Rd, Glendale Heights, IL 60139",Q Bar’s Big Boy Burger Challenge (Glendale Heights),Where: Q Bar (Glendale Heights),,
"Address: 8109 S Cass Ave, Darien, IL 60561",Q Bar’s Big Boy Burger Challenge (Darien),Where: Q Bar (Darien),,
"Address: 1139 N Alpine Rd, Rockford, IL 61107",Mamma Mia’s 32″ Team Pizza Challenge,Where: Mamma Mia's Italian Pizzeria,,
"Address: 322 S Main St, Anna, IL 62906",Jordo’s 18″ Party Pizza Challenge,Where: Jordo's Pizzeria,,
"Address: 120 S Division St, Norris City, IL 62869",Mimmo’s Italian Restaurant’s 20″ Pizza Challenge,Where: Mimmo's Italian Restaurant,,
"Address: 1365 N Milwaukee Ave, Chicago, IL 60622",The Cheesie’s Challenge #1 (Wicker Park),Where: Cheesie's (Wicker Park),,
"Address: 1365 N Milwaukee Ave, Chicago, IL 60622",The Mega Cheesie’s Challenge #2 (Wicker Park),Where: Cheesie's (Wicker Park),,
"Address: 12618 South Rt. 59, Plainfield, IL 60585",The Broken Yolk’s Iron Man Omelet Challenge (Plainfield),Where: The Broken Yolk Cafe (Plainfield),,
"Address: 1058 W Polk St, Chicago, IL 60607",Fontano’s Subs’ Meatball Sandwich Challenge,Where: Fontano's Subs,,
"Address: 1000 N State Rt 29, Athens, IL 62613",Boar’s Nest’s Clydesdale Horseshoe Challenge,Where: The Boar's Nest,,
"Address: 410 St Louis Rd, Collinsville, IL 62234",Horseshoe Lounge’s 5.5lb Horseshoe Challenge,Where: Horseshoe Lounge and Restaurant,,
"Address: 4808 W Farmington Rd, Peoria, IL 61604",The Hungry Moose’s 2lb Moose Burger Challenge,Where: The Hungry Moose,,
"Address: 5400 N Clark St, Chicago, IL 60640",Hamburger Mary’s Big Fatty Burger Challenge (Chicago),Where: Hamburger Mary's (Chicago),,
"Address: 609 S Illinois St, Belleville, IL 62220",Hicks’ BBQ MONSTER Nacho Challenge,Where: Hicks Bar-B-Que Company,,
"Address: 21 Romines Dr, Morris, IL 60450",R-Place Family Eatery’s 4lb “Ethyl” Burger Challenge,Where: R-Place Family Eatery (Inside Travel Center),,
"Address: 7347 Madison St, Forest Park, IL 60130",Brown Cow’s 21 Scoop “Trough” Ice Cream Challenge,Where: The Brown Cow Ice Cream Parlor,,
"Address: 236 N Front St, Quincy, IL 62301",Chick’s Big Ass Team Chicken Lip Challenge (By The River),Where: Chick's By The River,,
"Address: 315 S 6th St, Wood River, IL 62095",King Louie’s King Of The Jungle Burger Challenge,Where: King Louie's Drive-In,,
"Address: 170 Carlinville Plaza, Carlinville, IL 62626",Carlinville Plaza Cafe’s Monster Horseshoe Challenge,Where: Carlinville Plaza Café,,
"Address: 2300 N Lincoln Ave, Chicago, IL 60614",Johnny’s Big Daddy Burger Challenge (Lincoln Park),Where: Johnny's Beef & Gyros (Lincoln Park),,
"Address: 909 E Ogden Ave, Naperville, IL 60563",Crosstown’s Devil’s Sweat Wing Challenge,Where: Crosstown Pub & Grill,,
"Address: 622 Davis St, Evanston, IL 60201",The Mega Cheesie’s Challenge #2 (Evanston),Where: Cheesie's (Evanston),,
"Address: 622 Davis St, Evanston, IL 60201",The Cheesie’s Challenge #1 (Evanston),Where: Cheesie's (Evanston),,
"Address: 958 W Belmont Ave, Chicago, IL 60657",The Mega Cheesie’s Challenge #2 (Belmont),Where: Cheesie's (Belmont),,
"Address: 958 W Belmont Ave, Chicago, IL 60657",The Cheesie’s Challenge #1 (Belmont),Where: Cheesie's (Belmont),,
"Address: 122 S Main St, Wauconda, IL 60084",Bulldogs’ Asylum Wing Challenge,Where: Bulldogs Grill,,
"Address: 122 S Main St, Wauconda, IL 60084",Bulldogs’ Bluto Burger Challenge,Where: Bulldogs Grill,,
"Address: 700 North St, Springfield, IL 62704",Charlie Parker’s Giant Pancake Challenge,Where: Charlie Parker's Diner,,
"Address: 10290 W Higgins Rd, Rosemont, IL 60018",Shoeless Joe’s Da Big Hurt Burger Challenge,Where: Shoeless Joe's Ale House & Grille,,
"Address: 698 N Milwaukee Ave, Prospect Heights, IL 60070",Rocky Vander’s Disaster Burger Challenge,Where: Rocky Vander's Café & Bar,,
"Address: 523 W Main St, Ottawa, IL 61350",Tone’s Belt Buster Ice Cream Challenge,Where: Tone's Cones,,
"Address: 1607 Ottawa Ave, Ottawa, IL 61350",The Bears Den’s Grizzly Sandwich Challenge,Where: The Bears Den Bar & Grill,,
"Address: 14420 S Pulaski Rd, Midlothian, IL 60445",Bartolini’s 10lb Meatball Sandwich Team Challenge (4 People),Where: Bartolini's Restaurant,,
"Address: 14420 S Pulaski Rd, Midlothian, IL 60445",Bartolini’s 10lb Meatball Sandwich Team Challenge (3 People),Where: Bartolini's Restaurant,,
"Address: 14420 S Pulaski Rd, Midlothian, IL 60445",Bartolini’s 10lb Meatball Sandwich Team Challenge (2 People),Where: Bartolini's Restaurant,,
"Address: 14420 S Pulaski Rd, Midlothian, IL 60445",Bartolini’s 10lb Meatball Sandwich Challenge (Solo),Where: Bartolini's Restaurant,,
"Address: 3307 W Elm Street, McHenry, IL 60050",Windhill Pancake Parlor’s Ironman Breakfast Challenge,Where: Windhill Pancake Parlor,,
"Address: 320 W Adams St, Macomb, IL 61455",Chubby’s Chubby Hot Dog Challenge,Where: Chubby's Bar & Grill,,
"Address: 13 S Side Square, Macomb, IL 61455",Chick’s Big Ass Team Chicken Lip Challenge (On The Square),Where: Chick's On The Square,,
"Address: 5040 N 2nd St, Loves Park, IL 61111",The Hope & Anchor’s Fat Bastard Burger Challenge,Where: The Hope & Anchor English Pub,,
"Address: 230 W St Louis St, Lebanon, IL 62254",Dr Jazz’s Ice Cream Overdose Sundae Challenge,Where: Dr Jazz Soda Fountain & Grille,,
"Address: 142 Cedar Ave, Lake Villa, IL 60046",Galati’s 30″ Football Pizza Challenge,Where: Galati Pizza Grill & Pub,,
"Address: 42 S La Grange Rd, LaGrange, IL 60525",Di Nico’s Giant Slice Challenge (La Grange),Where: Di Nico's Pizza (LaGrange),,
"Address: 125 W Station St, Kankakee, IL 60901",Bull’s Impossi-Bull Burger Challenge,Where: Bull's Pit Smoked Barbecue (Kankakee),,
"Address: 1260 S Milwaukee Ave, Vernon Hills, IL 60061",Real Urban Barbecue’s Home ‘Recker BBQ Sandwich Challenge (Vernon Hills),Where: Real Urban Barbecue (Vernon Hills),,
"Address: 610 Central Ave, Ste #177, Highland Park, IL 60035",Real Urban Barbecue’s Home ‘Recker BBQ Sandwich Challenge (Highland Park),Where: Real Urban Barbecue (Highland Park),,
"Address: 6310 Grand Ave, Ste #300, Gurnee, IL 60031",Suzy’s Swirl’s Big Joe 64oz Frozen Yogurt Challenge,Where: Suzy's Swirl Frozen Yogurt,,
"Address: 4112 Pontoon Rd, Granite City, IL 62040",Uncle Linny’s Triple Linny Burger Challenge,Where: Uncle Linny's Family Restaurant,,
"Address: 1590 Rand Rd, Des Plaines, IL 60616",Taco Village’s El Jefe Burrito Challenge,Where: Taco Village Mexican Restaurant,,
"Address: 221 Lincoln Hwy, Dekalb, IL 60505",Vinny’s 24″ Hurricane Pizza Challenge,Where: Vinny's Pizza,,
"Address: 1135 W Wood St, Ste #4, Decatur, IL 62522",The University Dogs Big Dog Challenge,Where: University Dogs,,
"Address: 9602 S Cicero Ave, Oak Lawn, IL 60453",Nonna’s Giant Slice Pizza Challenge (Oak Lawn),Where: Nonna's Pizza (Oak Lawn),,
"Address: 13636 Cicero Ave, Crestwood, IL 60445",Nonna’s Giant Slice Pizza Challenge (Crestwood),Where: Nonna's Pizza (Crestwood),,
"Address: 4901 Cal Sag Rd, Crestwood, IL 60445",At The Office’s Big Daddy Burger Challenge,Where: At The Office Sports Bar & Grill,,
"Address: 416 Belt Line Rd, Collinsville, IL 62234",The Red Bar’s Giant Sloppy Big Joe Challenge,Where: The Red Bar & Grill,,
"Address: 1707 N 4th St, Chillicothe, IL 61523",Castaway’s Double “O” Burger Challenge,Where: Castaways Bar & Grill,,
"Address: 10160 W 191st Street, Mokena, IL 60448",Jenny’s Beef Eater London Broil Challenge (Mokena),Where: Jenny's Steak House (Mokena),,
"Address: 10160 W 191st Street, Mokena, IL 60448",Jenny’s Beef Eater Prime Rib Challenge (Mokena),Where: Jenny's Steak House (Mokena),,
"Address: 11041 Menard Ave, Chicago Ridge, IL 60415",Jenny’s Beef Eater London Broil Challenge (Chicago Ridge),Where: Jenny's Steak House (Chicago Ridge),,
"Address: 11041 Menard Ave, Chicago Ridge, IL 60415",Jenny’s Beef Eater Prime Rib Challenge (Chicago Ridge),Where: Jenny's Steak House (Chicago Ridge),,
"Address: 5572 Grand Ave, Gurnee, IL 60031",The Big Timmy Burger Challenge (Gurnee),Where: Timothy O'Toole's Pub (Gurnee),,
"Address: 622 N Fairbanks Ct, Chicago, IL 60611",The Big Timmy Burger Challenge (Chicago),Where: Timothy O'Toole's Pub (Chicago),,
"Address: 69 E Madison St, Chicago, IL 60603",Rudy’s Famous Skillet Challenger Burger,Where: Rudy's Bar & Grille,,
"Address: 3463 N Broadway St, Chicago, IL 60657",The Rockstar Burger Challenge (Lakeview),Where: Rocks Bar & Grill (Lakeview),,
"Address: 2258 W Chicago Ave, Chicago, IL 60622",Fatso’s Last Stand’s Po’Boy Challenge,Where: Fatso's Last Stand,,
"Address: 1028 W Diversey Pkwy, Chicago, IL 60614",Paddy Long’s 5lb Bacon Bomb Challenge,Where: Paddy Long's Beer & Bacon Pub,,
"Address: 3472 N Clark St, Chicago, IL 60657",Lucky’s Sandwich Challenge,Where: Lucky's Sandwich Co,,
"Address: 41 E Superior Stm Chicago, IL 60611",Jake Melnick’s XXX Hot Wing Challenge,Where: Jake Melnick's Corner Tap,,
"Address: 41 E Superior St, Chicago, IL 60611",Jake Melnick’s 8lb Monster Burger Team Challenge,Where: Jake Melnick's Corner Tap,,
"Address: 552 Randall Rd, St Charles, IL 60174",Colonial Café’s Kitchen Sink Sundae Challenge (St Charles West),Where: Colonial Café (St Charles West),,
"Address: 1625 E Main St, St Charles, IL 60174",Colonial Café’s Kitchen Sink Sundae Challenge (St Charles East),Where: Colonial Café (St Charles East),,
"Address: 8 W Gartner Rd, Naperville, IL 60540",Colonial Café’s Kitchen Sink Sundae Challenge (Naperville),Where: Colonial Café (Naperville),,
"Address: 1961 W Galena Blvd, Aurora, IL 60506",Colonial Café’s Kitchen Sink Sundae Challenge (Aurora),Where: Colonial Café (Aurora),,
"Address: 2555 W Bunker Hill Dr, Algonquin, IL 60102",Colonial Café’s Kitchen Sink Sundae Challenge (Algonquin),Where: Colonial Café (Algonquin),,
"Address: 502 E John St, Champaign, IL 61820",Fat Sandwich Company’s Big Fat Ugly Challenge,Where: Fat Sandwich Company,,
"Address: 11578 Shipman Rd, Carlinville, IL 62626",Full Throttle’s 3lb Burger Challenge,Where: Full Throttle Tavern,,
"Address: 3685 S Archer Ave, Chicago, IL 60609",Lindy’s 18 Scoop “Beast” Sundae Challenge,Where: Lindy's Chili & Gertie's Ice Cream,,
"Address: 321 N Lake St, Aurora, IL 60506",Aurora Pancake House’s 40oz Burger Challenge,Where: Aurora Pancake House,,
"Address: 620 Bruns Lane, Springfield, IL 62702",Alexander’s Beefeater’s Club Challenge (Springfield),Where: Alexander's Steakhouse (Springfield),,
"Address: 1503 E College Ave, Normal, IL 61761",Alexander’s Beefeater’s Club Challenge (Normal),Where: Alexander's Steakhouse (Normal),,
"Address: 100 Alexander St, Peoria, IL 61603",Alexander’s Beefeater’s Club Challenge (Peoria),Where: Alexander's Steakhouse (Peoria),,
"Address: 250 Backbone Rd E, Princeton, IL 61356",Prime Quarter’s Beefeater’s Club Challenge (Princeton),Where: Prime Quarter Steak House (Princeton),,
"Address: 111 W Maryland St, Indianapolis, IN 46225",Dick’s Last Resort’s 48oz T-Bone Steak Challenge (Indianapolis),Where: Dick's Last Resort (Indianapolis),,
"Address: 101 W Morton St, Oakland City, IN 47660",Las Islas’ Mexican “Anaconda” Burrito Challenge,Where: Las Islas Mexican Restaurant,,
"Address: 5908 US Highway 6, Portage IN 46368",Mexico Lindo’s 8lb Monster Burrito Challenge (Portage),Where: Mexico Lindo Bar & Grill Restaurant (Portage),,
"Address: 1216 S Heaton St, Knox, IN 46534",Mexico Lindo’s 8lb Monster Burrito Challenge (Knox),Where: Mexico Lindo Bar & Grill Restaurant (Knox),,
"Address: 1212 S Ironwood Dr, South Bend, IN 46615",Hensell’s Oaken Bucket “King” Burger Challenge,Where: Hensell's Oaken Bucket,,
"Address: 110 Lincolnway E, Mishawaka, IN 46544",Smith’s Downtown’s “Big Smith” Sandwich Challenge,Where: Smith's Downtown,,
"Address: 236 W Edison Rd, Ste #1, Mishawaka, IN 46545",Caracas Bistro’s 27-Inch “Pepito” Sandwich Challenge,Where: Caracas Bistro ,,
"Address: 1803 South Bend Ave, South Bend, IN 46637",Taphouse on Edge’s “Randy Santel” Monster Melt Challenge,Where: Taphouse On The Edge,,
"Address: 1803 South Bend Ave, South Bend, IN 46637",Taphouse on the Edge’s “Monster Melt” Burger Challenge,Where: Taphouse On The Edge,,
"Address: 201 S Meridian St, Indianapolis, IN 46225",Kilroy’s Stuffed Breadsticks Challenge (Downtown Indy),Where: Kilroy's Bar & Grill (Downtown Indy),,
"Address: 831 Broad Ripple Ave, Indianapolis, IN 46220",Kilroy’s Stuffed Breadsticks Challenge (Broad Ripple),Where: Kilroy's Bar & Grill (Broad Ripple),,
"Address: 2641 W Michigan St, Indianapolis, IN 46222",Super Tortas Indy’s Monster Torta Challenge,Where: Super Tortas Estilo Barrio,,
"Address: 43 S Main St, Martinsville, IN 46151",Holy Smoke Hog Roast’s Carnivore BBQ Challenge,Where: Holy Smoke Hog Roast Co,,
"Address: 815 Broad Ripple Ave, Indianapolis, IN 46220",Taste of Havana’s CrocTail Cuban Sandwich Challenge,Where: Taste of Havana (Broad Ripple area),,
"Address: 644 Main St, Lafayette, IN 47901",DT Kirby’s Massive Street Food Challenge,Where: DT Kirby's Street Food,,
"Address: 9500 Hwy 144, Martinsville, IN 46151",The Knuckle Sandwich’s ’57 Chevy Burger Challenge,Where: The Knuckle Sandwich (A 50's Diner),,
"Address: 1013 US-30, Schererville, IN 46375",Bullpen Bar & Grill’s Burger Challenge,Where: Bullpen Bar & Grill,,
"Address: 1313 N 1st Ave, Evansville, IN 47711",Big M’s Pizzeria’s “Big M-Fer” Team Pizza Challenge,Where: Big M's Pizzeria,,
"Address: 124 N Market St, Winamac, IN 46996",One Eyed Jack’s Titanic 2 Handed Tenderloin Challenge,Where: One Eyed Jack's,,
"Address: 2450 E 146th St, Carmel, IN 46033",Kizuki Ramen & Izakaya’s Ramen Challenge,Where: Kizuki Ramen & Izakaya (Carmel),,
"Address: 225 State St, New Albany, IN 47150",Wick’s 16″ Big Wick Pizza Challenge (Live On State),Where: Wick's Pizza Parlor (Live On State),,
"Address: 1049 Eads Pkwy E, Lawrenceburg, IN 47025",Howie’s Big Biscuits and Gravy Challenge,Where: Howie's Diner,,
"Address: 6580 Leonard Rd N, Mount Vernon, IN 47620",Hawg “N” Sauce’s Hawgzilla Trough Challenge,Where: Hawg N Sauce,,
"Address: 134 W State St, Ste D, West Lafayette, IN 47906",AJ’s Burger Challenge,Where: AJ's Burgers & Beef,,
"Address: 1084 Linwood Ave, Valparaiso, IN 46383",The Industrial Revolution Burger Challenge,Where: Industrial Revolution Eatery & Grille,,
"Address: 1809 South Bend Ave, South Bend, IN 46637",The Waka Dog Cafe Challenge,Where: Waka Dog Café,,
"Address: 15499 N State Rd 245, Santa Claus, IN 47579",Santa’s Fire & Ice Challenge,Where: Santa's Candy Castle,,
"Address: 15499 N State Rd 245, Santa Claus, IN 47579",Santa’s Avalanche Challenge,Where: Santa's Candy Castle,,
"Address: 2300 US Hwy 30, Valparaiso, IN 46383",Kelsey’s Six Pound Steak Challenge,Where: Kelsey's Steak & Seafood,,
"Address: 14300 Mundy Dr, Noblesville, IN 46060",Best Bet’s Double All-In Breakfast Challenge,Where: Best Bet Breakfast & Lunch,,
"Address: 101 E Carr St, Milan, IN 47031",Hog Rock’s Big 54 Sandwich Food Challenge,Where: Hog Rock Café,,
"Address: 480 N Morton St, Bloomington, IN 47404",Bub’s “Big Ugly” Pounder Burger Challenge (Bloomington),Where: Bub's Burgers & Ice Cream (Bloomington),,
"Address: 620 S Main St, Zionsville, IN 46077",Bub’s “Big Ugly” Pounder Burger Challenge (Zionsville),Where: Bub's Burgers & Ice Cream (Zionsville),,
"Address: 210 W Main St, Carmel, IN 46032",Bub’s “Big Ugly” Pounder Burger Challenge (Carmel),Where: Bub's Burgers & Ice Cream (Carmel),,
"Address: 922 E Main St, Brownsburg, IN 46112",The 30″ Rockstar Team Pizza Challenge,Where: Rockstar Pizza,,
"Address: 110 N Walnut St, Bloomington, IN 47401",Opie Taylor’s Double Tank Burger Challenge,Where: Opie Taylor's Restaurant,,
